employee_number,birth_date,gender,civil_status,citizenship
employee1,,,,
employee2,11/2/1985,F,2,FILIPINO
employee3,1/15/1981,M,1,FILIPINO
employee4,10/18/1985,M,2,FILIPINO
employee5,10/4/1990,M,1,FILIPINO
employee6,10/8/1993,F,1,FILIPINO
employee7,12/19/1964,M,2,FILIPINO
employee8,4/28/1986,M,1,FILIPINO
employee9,12/1/1990,M,1,FILIPINO
employee10,4/12/1989,F,1,FILIPINO
employee11,9/11/1970,M,2,FILIPINO
employee12,5/2/1962,M,2,FILIPINO
employee13,9/1/1989,M,1,FILIPINO
employee14,9/25/1955,F,2,FILIPINO
employee15,10/20/1992,M,1,FILIPINO
employee16,3/23/1995,F,1,FILIPINO
employee17,2/25/1996,F,1,FILIPINO
employee18,1/27/1988,F,1,FILIPINO
employee19,5/1/1970,M,2,FILIPINO
employee20,12/21/1993,F,1,FILIPINO
employee21,7/11/1989,M,2,FILIPINO
employee22,5/6/1981,M,1,FILIPINO
employee23,9/6/1988,M,2,FILIPINO
employee24,4/18/1976,M,2,FILIPINO
employee25,5/15/1990,M,2,FILIPINO
employee26,3/25/1960,M,2,FILIPINO
employee27,8/26/1963,M,1,FILIPINO
employee28,12/30/1993,M,1,FILIPINO
employee29,4/14/1990,M,1,FILIPINO
employee30,3/14/1995,M,1,FILIPINO
employee31,8/26/1960,M,2,FILIPINO
employee32,1/9/1990,M,1,FILIPINO
employee33,12/26/1986,M,1,FILIPINO
employee34,12/25/1988,M,1,FILIPINO
employee35,9/27/1963,M,2,FILIPINO
employee36,6/15/1990,F,2,FILIPINO
employee37,4/29/1955,M,2,FILIPINO
employee38,1/10/1983,M,2,FILIPINO
employee39,5/10/1968,M,2,FILIPINO
employee40,7/20/1996,F,1,FILIPINO
employee41,8/26/1981,M,2,FILIPINO
employee42,9/16/1991,M,1,FILIPINO
employee43,11/29/1984,M,1,FILIPINO
employee44,10/12/1992,F,1,FILIPINO
employee45,1/9/1990,F,1,
employee46,8/17/1992,F,1,FILIPINO
employee47,6/5/1983,M,2,FILIPINO
employee48,3/18/1991,F,1,FILIPINO
employee49,6/11/1981,M,2,FILIPINO
employee50,1/9/1994,F,1,FILIPINO
employee51,8/21/1991,F,1,FILIPINO
